"business","name","taxcode","latitude","longitude","routines","reinspects","complaints","inspects","ratio","meanscore","highrisks","interval","c1","c2","c3","Score"
"4412","The Bubble Lounge","H26",37.795918,-122.403283,3,1,0,4,0.33,93,0,340,0,0,0,4
"4421","Crepe Cafe","H28",37.80824,-122.410189,4,0,0,4,0,96,0,278,0,0,0,4
"4424","OUTTA HERE","H28",37.775117,-122.452065,5,1,0,6,0.2,84,1.4,186,1,1,0,2
"4425","STARBUCKS COFFEE","H28",37.775314,-122.412819,5,0,0,5,0,92,0.2,174,0,0,0,4
"4427","ASAD MARKET","H28",37.774722,-122.406761,4,2,0,6,0.5,88,0.25,268,0,0,0,4
"4434","NOE VALLEY BAKERY  BREAD CO","H28",37.751314,-122.433409,4,0,0,4,0,97,0,261,0,0,0,4
"4438","DIANA MARKET 2","H28",37.774722,-122.406761,5,0,0,5,0,92,0,264,0,0,0,4
"4444","JAMBA JUICE 138","H28",37.787838,-122.400998,5,0,0,5,0,97,0,242,0,0,0,4
"4445","MARTHA  BROS COFFEE COMPANY","H28",37.751638,-122.428952,4,3,1,8,0.75,89,0.25,300,0,0,0,4
"4447","Food Express","H28",37.793598,-122.406097,3,2,0,5,0.67,95,0,344,0,0,0,4
"4449","Universal Bakery Inc","H24",37.741317,-122.422687,6,3,0,9,0.5,91,0.5,200,0,0,0,4
"4462","Hotwok Express Inc","H25",37.796954,-122.400764,3,3,0,6,1,87,0.67,374,0,0,0,4
"4465","Freddies Sandwiches","H28",37.805128,-122.410284,3,0,0,3,0,94,0,257,0,0,0,4
"4469","Boudin Restaurant","H26",37.808352,-122.415157,3,2,0,5,0.67,96,0,357,0,0,0,4
"4475","Spot Light Market","H28",37.766424,-122.424311,5,0,0,5,0,100,0,168,0,0,0,4
"4476","AFC Sushi  Safeway 4601","H28",37.796984,-122.398887,4,2,0,6,0.5,97,0,335,0,0,0,4
"4478","AFC Sushi  Safeway 1490","H28",37.765708,-122.409002,3,0,0,3,0,98,0,354,0,0,0,4
"4479","Courtneys Produce II","H28",37.767194,-122.435576,3,1,0,4,0.33,87,0,331,0,0,0,4
