"business","name","taxcode","latitude","longitude","routines","reinspects","complaints","inspects","ratio","mean_score","high_risk_violations","interval"
"18577","AMC Theatres Metreon 16 - Main Stand","H28",37.784548,-122.40419,3,0,0,3,0,91,0.333333333333333,391
"18580","AMC Theatres Metreon 16 - Auxiliary Stand","H28",37.784548,-122.40419,3,0,0,3,0,93.3333333333333,0,391
"18581","AMC Theatres Metreon 16 - Imax Stand","H28",37.784548,-122.40419,3,0,0,3,0,94,0,391
"18606","Sheba Restaurant & Lounge","H25",37.782764,-122.432634,4,0,1,5,0,91.75,0.25,266
"18616","Kate O'Brien's","H26",37.787248,-122.397632,4,0,0,4,0,95,0,243
"1865","Latte Express #3","H25",37.807244,-122.416434,4,3,0,7,0.75,94,0.5,256
"1866","Starbucks Coffee Company","H25",37.793693,-122.401194,5,0,0,5,0,96.8,0,261.25
"1867","Escape From New York Pizza","H25",37.790844,-122.403168,5,1,0,6,0.2,96.6,0.2,250.5
"18677","Pagolac","H26",37.783952,-122.417726,2,5,0,7,2.5,80,1,370
"1869","Tante Marie Cooking School","H25",37.805143,-122.409647,4,0,0,4,0,90,0.5,315.333333333333
"187","TAZA WRAPS & JUICE","H24",37.723054,-122.483612,5,0,0,5,0,100,0,234.75
"1870","Cafe Tiramisu","H25",37.791198,-122.403737,4,4,0,8,1,91,0.5,282.333333333333
"18728","Fat Belli Deli","H24",37.728947,-122.404201,5,2,0,7,0.4,93.8,0.2,243
"1873","Bistro 69","H25",37.788243,-122.404547,4,6,2,12,1.5,83,0.5,273.333333333333
"18732","Royal Ground Coffee","H24",37.782068,-122.484522,4,0,1,5,0,98,0,254.333333333333
"18755","Cafe Troya","H25",37.782974,-122.463119,4,0,0,4,0,94.5,0,249.666666666667
"18767","Wonderful Dessert & Cafe","H25",37.763399,-122.479654,6,2,0,8,0.333333333333333,91.5,0.5,188.4
"1880","Pasquales","H25",37.735568,-122.5027,3,2,1,6,0.666666666666667,85.6666666666667,1,375.5
"18800","7-Mission Restaurant","H25",37.778547,-122.41013,4,1,1,6,0.25,72,2,186.333333333333
"18805","Terzo","H25",37.797144,-122.437224,4,0,0,4,0,95.25,0.25,263.666666666667
"18815","Lotus Garden Vietnamese Cuisine","H25",37.745188,-122.420187,5,4,2,11,0.8,89.2,0,201.25
"1882","Sorabol-Stonestown Galleria","H25",37.728497,-122.475639,6,1,1,8,0.166666666666667,94.8333333333333,0.166666666666667,181.2
"18824","Fresca Restaurant","H25",37.740502,-122.466192,4,2,0,6,0.5,84.25,0.75,339.666666666667
"18825","Fresca Restaurant","H26",37.751474,-122.430708,4,5,0,9,1.25,91.5,0.5,259.666666666667
"18826","Fresca Restaurant","H25",37.789074,-122.433783,3,2,1,6,0.666666666666667,82.3333333333333,0.333333333333333,357.5
"1884","HOT DOG ON A STICK","H25",37.728497,-122.475639,6,1,0,7,0.166666666666667,98.6666666666667,0,173.8
"18870","Ken's Kitchen","H25",37.783356,-122.419196,2,3,0,5,1.5,78,1,363
"1892","Restaurant Tanuki","H25",37.784773,-122.464878,4,0,0,4,0,93.5,0,270
"18921","Nopa","H26",37.774778,-122.437717,4,2,1,7,0.5,94.5,0.5,280.333333333333
"1894","MAI'S VIETNAMESE RESTAURANT","H25",37.783048,-122.462641,4,1,1,6,0.25,93.25,0.25,264
"18940","Bruno's","H26",37.758914,-122.419036,6,3,0,9,0.5,95.5,0.166666666666667,175.8
"18952","Hilton Financial District- Restaurant Seven Fifty","H26",37.795057,-122.404876,4,2,0,6,0.5,92,0.5,268
"18953","Hilton Financial District- Banquet & Catering","H26",37.795057,-122.404876,4,2,0,6,0.5,94,0,268
"18954","Hilton Financial District-Flute Coffee and Wine Bar","H24",37.795057,-122.404876,4,3,0,7,0.75,98,0,293.666666666667
"1896","SIMPLE PLEASURES CAFE","H25",37.775818,-122.495802,6,3,2,11,0.5,96.3333333333333,0.166666666666667,174
"18963","The Sandwich Co","H24",37.791148,-122.401264,5,3,0,8,0.6,92.5,0.5,228.5
"1898","Bill's Place","H25",37.782023,-122.484159,5,1,9,15,0.2,97.2,0,222.5
"18981","Frascati","H25",37.798392,-122.418923,5,2,0,7,0.4,89.8,0.6,214.25
"18996","Ritual Coffee Roasters","H24",37.756427,-122.421094,5,2,2,9,0.4,93.2,0,226.5
"19","Nrgize Lifestyle Cafe","H24",37.786848,-122.421547,5,0,0,5,0,95.8,0.2,208.5
"190","COURTYARD BY MARRIOTT-STAFF KITCHEN","H24",37.785614,-122.396693,4,0,0,4,0,98.5,0,240.333333333333
"1900","Clement Street Bar & Grill","H25",37.782858,-122.466812,4,1,3,8,0.25,94,0,285.333333333333
"19002","Subway Sandwiches","H24",37.780421,-122.479933,4,0,0,4,0,98.5,0,298.666666666667
"19003","Panchitas Restaurant","H25",37.764903,-122.421609,6,5,1,12,0.833333333333333,83.5,1.16666666666667,174.4
"19025","Mamacita","H25",37.800124,-122.441497,4,1,0,5,0.25,97.25,0.25,264
"1903","GEARY STREET BELLA PIZZA","H25",37.781148,-122.463672,2,0,0,2,0,95,0,492
"19041","Nama Sushi","H25",37.777398,-122.392391,4,2,0,6,0.5,87,1,249.666666666667
"19055","Moscone Center West - Bsmt Kitchen","H26",37.783257,-122.402816,5,1,0,6,0.2,96.8,0.4,190.5
"19056","Moscone Center West -  3 Flr. Pantry","H25",37.783257,-122.402816,5,1,0,6,0.2,99.2,0,190.5
"19057","Moscone Center West -  2nd Flr. Pantry","H25",37.783257,-122.402816,5,1,0,6,0.2,99.2,0,190.5
"19058","Moscone Center West - 1st Flr. Pantry","H25",37.783257,-122.402816,6,2,0,8,0.333333333333333,90.1666666666667,0.5,152.4
"19059","Moscone Convention Center - Stand #1","H28",37.784128,-122.401533,5,0,0,5,0,95.6,0.2,209
"1906","Alex Bakery","H25",37.782944,-122.46395,4,0,0,4,0,90.25,0.25,259.666666666667
"19060","Moscone Convention Center - Stand #2","H28",37.784128,-122.401533,5,0,0,5,0,95.2,0,209
"19061","Moscone Convention Center - Stand #3","H28",37.784128,-122.401533,6,0,0,6,0,96,0,167.2
"19063","Moscone Convention Center -  Main Kitchen","H24",37.784128,-122.401533,7,0,0,7,0,96.5714285714286,0,140.166666666667
"19064","Moscone Convention Center - Stand #4","H28",37.784128,-122.401533,5,0,0,5,0,92,0,209
"19076","Star India Restaurant","H25",37.781153,-122.45936,6,6,1,13,1,82,1,181.6
"19082","Moscone Ctr. Northside Cafe/Cafe D","H28",37.784128,-122.401533,6,0,0,6,0,96.6666666666667,0,168.2
"19094","Rigolo","H25",37.786663,-122.451147,4,4,0,8,1,94,0,246.333333333333
"19106","Cava22","H26",37.755334,-122.419593,3,3,0,6,1,89,0.333333333333333,353.5
"19109","Argent Hotel - 2nd Floor Banquet Room Kitchen","H26",NA,NA,3,0,0,3,0,93,0,160
"1912","Cafe Bakery","H25",37.754114,-122.47833,5,4,0,9,0.8,83,1,190.5
"19136","Toast Eatery","H24",37.742907,-122.426638,4,0,1,5,0,97,0,272
"19138","Pho Ha Tien","H24",37.725306,-122.462261,5,0,1,6,0,90.8,0,240.25
"19146","Morty's Delicatessen","H25",37.781718,-122.415194,2,3,1,6,1.5,74,2,412
